,User ID,Subscription Type,Period Revenue,Join Date,Payment Date,Country,Age,Gender,Device,Plan Duration
36,37,Standard,34.986000000000004,2022-09-14,2023-06-25,Brazil,45,Female,Laptop,12 Months
37,38,Basic,24.990000000000002,2021-05-11,2023-06-24,Mexico,32,Male,Smartphone,12 Months
38,39,Basic,3.0,2022-12-28,2023-06-23,Spain,27,Female,Smart TV,1 Month
39,40,Basic,3.0,2023-07-03,2023-06-22,Italy,48,Male,Tablet,1 Month
40,41,Basic,24.990000000000002,2023-01-20,2023-06-22,United States,31,Female,Laptop,12 Months
41,42,Basic,24.990000000000002,2022-06-15,2023-06-28,Canada,40,Male,Smartphone,12 Months
42,43,Basic,3.0,2022-07-02,2023-06-27,United Kingdom,36,Female,Smart TV,1 Month
43,44,Basic,3.0,2022-04-26,2023-06-26,Australia,29,Male,Tablet,1 Month
44,45,Basic,24.990000000000002,2023-01-28,2023-06-28,Germany,43,Female,Laptop,12 Months
45,46,Basic,24.990000000000002,2022-02-23,2023-06-27,France,34,Male,Smartphone,12 Months
46,47,Basic,3.0,2022-05-10,2023-06-25,Brazil,39,Female,Smart TV,1 Month
47,48,Basic,24.990000000000002,2021-09-15,2023-06-24,Mexico,32,Male,Tablet,12 Months
48,49,Standard,4.2,2022-10-11,2023-06-23,Spain,28,Female,Laptop,1 Month
49,50,Basic,24.990000000000002,2023-02-06,2023-06-22,Italy,45,Male,Smartphone,12 Months
50,51,Basic,3.0,2023-02-27,2023-06-22,United States,30,Female,Smart TV,1 Month
51,52,Basic,24.990000000000002,2022-08-29,2023-06-28,Canada,37,Male,Tablet,12 Months
52,53,Basic,24.990000000000002,2022-01-13,2023-06-27,United Kingdom,41,Female,Laptop,12 Months
53,54,Basic,3.0,2022-06-30,2023-06-26,Australia,29,Male,Smartphone,1 Month
54,55,Basic,3.0,2023-04-20,2023-06-28,Germany,39,Female,Smart TV,1 Month
55,56,Basic,24.990000000000002,2022-03-15,2023-06-27,France,36,Male,Tablet,12 Months
56,57,Standard,34.986000000000004,2022-01-10,2023-06-25,Brazil,46,Female,Laptop,12 Months
57,58,Basic,3.0,2021-08-10,2023-06-24,Mexico,34,Male,Smartphone,1 Month
58,59,Basic,3.0,2022-03-12,2023-06-23,Spain,27,Female,Smart TV,1 Month
59,60,Basic,24.990000000000002,2023-06-14,2023-06-22,Italy,42,Male,Tablet,12 Months
60,61,Standard,34.986000000000004,2023-08-02,2023-06-22,United States,28,Female,Laptop,12 Months
61,62,Basic,24.990000000000002,2022-03-08,2023-06-28,Canada,37,Male,Smartphone,12 Months
62,63,Standard,4.2,2022-02-23,2023-06-27,United Kingdom,41,Female,Smart TV,1 Month
63,64,Basic,24.990000000000002,2022-06-20,2023-06-26,Australia,29,Male,Tablet,12 Months
64,65,Basic,24.990000000000002,2023-03-29,2023-06-28,Germany,40,Female,Laptop,12 Months
65,66,Basic,3.0,2022-01-30,2023-06-27,France,29,Male,Smartphone,1 Month
66,67,Standard,4.2,2022-09-18,2023-06-25,Brazil,47,Female,Smart TV,1 Month
67,68,Basic,24.990000000000002,2021-09-11,2023-06-24,Mexico,33,Male,Tablet,12 Months
68,69,Premium,62.475,2022-12-23,2023-06-23,Spain,36,Female,Laptop,12 Months
69,70,Basic,24.990000000000002,2023-08-05,2023-06-22,Italy,41,Male,Smartphone,12 Months
70,71,Basic,24.990000000000002,2022-01-26,2023-06-20,United States,27,Male,Smartphone,12 Months
71,72,Standard,34.986000000000004,2022-11-10,2023-06-22,Canada,31,Female,Smartphone,12 Months
72,73,Standard,4.2,2022-09-27,2023-06-26,United Kingdom,28,Female,Laptop,1 Month
73,74,Standard,4.2,2022-12-14,2023-06-25,Australia,41,Female,Smartphone,1 Month
74,75,Standard,34.986000000000004,2022-05-28,2023-06-26,Germany,28,Female,Laptop,12 Months
75,76,Basic,24.990000000000002,2021-12-29,2023-06-26,France,51,Female,Laptop,12 Months
76,77,Standard,34.986000000000004,2022-12-25,2023-06-23,Brazil,45,Female,Smartphone,12 Months
77,78,Basic,3.0,2022-11-18,2023-06-28,Mexico,49,Male,Tablet,1 Month
78,79,Basic,3.0,2022-03-12,2023-06-25,Spain,43,Female,Laptop,1 Month
79,80,Basic,3.0,2022-08-11,2023-06-22,Italy,43,Male,Tablet,1 Month
80,81,Basic,24.990000000000002,2023-11-01,2023-06-24,United States,37,Male,Tablet,12 Months
81,82,Basic,3.0,2022-07-12,2023-06-28,Canada,35,Male,Laptop,1 Month
82,83,Standard,4.2,2022-10-20,2023-06-26,United Kingdom,46,Female,Smartphone,1 Month
83,84,Basic,24.990000000000002,2023-04-13,2023-06-25,Australia,32,Male,Smartphone,12 Months
84,85,Basic,24.990000000000002,2023-06-04,2023-06-27,Germany,37,Female,Laptop,12 Months
85,86,Basic,24.990000000000002,2022-04-03,2023-06-25,France,29,Female,Smartphone,12 Months
86,87,Basic,3.0,2021-12-28,2023-06-23,Brazil,45,Male,Smart TV,1 Month
87,88,Basic,24.990000000000002,2022-09-27,2023-06-28,Mexico,47,Male,Tablet,12 Months
88,89,Basic,3.0,2022-10-20,2023-06-26,Spain,39,Male,Smartphone,1 Month
89,90,Standard,34.986000000000004,2023-03-02,2023-06-23,Italy,49,Female,Smartphone,12 Months
90,91,Basic,3.0,2022-03-10,2023-06-23,United States,39,Male,Tablet,1 Month
91,92,Basic,3.0,2022-05-01,2023-06-28,Canada,39,Male,Smart TV,1 Month
92,93,Basic,24.990000000000002,2022-05-02,2023-06-26,United Kingdom,35,Male,Smartphone,12 Months
93,94,Basic,24.990000000000002,2022-03-19,2023-06-25,Australia,44,Male,Smartphone,12 Months
94,95,Basic,24.990000000000002,2022-02-28,2023-06-25,Germany,34,Male,Laptop,12 Months
95,96,Basic,24.990000000000002,2022-07-26,2023-06-24,France,32,Male,Laptop,12 Months
96,97,Standard,4.2,2022-05-03,2023-06-24,Brazil,29,Female,Tablet,1 Month
97,98,Standard,4.2,2022-07-03,2023-06-28,Mexico,31,Female,Tablet,1 Month
98,99,Standard,34.986000000000004,2023-01-13,2023-06-24,Spain,29,Female,Tablet,12 Months
99,100,Basic,24.990000000000002,2023-01-22,2023-06-25,Italy,35,Male,Laptop,12 Months
100,101,Basic,24.990000000000002,2022-10-17,2023-06-24,United States,46,Female,Tablet,12 Months
101,102,Basic,24.990000000000002,2022-03-29,2023-06-28,Canada,31,Male,Tablet,12 Months
102,103,Basic,24.990000000000002,2022-04-04,2023-06-26,United Kingdom,36,Male,Laptop,12 Months
103,104,Basic,24.990000000000002,2022-08-06,2023-06-25,Australia,38,Male,Laptop,12 Months
104,105,Premium,62.475,2022-04-03,2023-06-27,Germany,46,Female,Laptop,12 Months
105,106,Standard,34.986000000000004,2022-03-18,2023-06-24,France,49,Female,Tablet,12 Months
106,107,Basic,3.0,2022-07-03,2023-06-24,Brazil,29,Female,Smart TV,1 Month
107,108,Premium,7.5,2022-05-24,2023-06-25,Mexico,27,Female,Smart TV,1 Month
108,109,Standard,34.986000000000004,2023-08-02,2023-06-25,Spain,35,Female,Tablet,12 Months
109,110,Standard,34.986000000000004,2023-01-26,2023-06-24,Italy,37,Female,Laptop,12 Months
110,111,Basic,24.990000000000002,2022-07-14,2023-06-27,United States,40,Male,Tablet,12 Months
111,112,Standard,34.986000000000004,2022-01-06,2023-06-28,Canada,33,Female,Laptop,12 Months
112,113,Basic,24.990000000000002,2022-07-05,2023-06-26,United Kingdom,37,Male,Tablet,12 Months
113,114,Basic,3.0,2022-11-18,2023-06-25,Australia,48,Male,Smartphone,1 Month
114,115,Basic,24.990000000000002,2022-05-04,2023-06-25,Germany,50,Female,Laptop,12 Months
115,116,Standard,4.2,2022-05-19,2023-06-23,France,45,Female,Smart TV,1 Month
116,117,Standard,4.2,2021-10-30,2023-06-23,Brazil,40,Female,Tablet,1 Month
117,118,Basic,24.990000000000002,2022-07-08,2023-06-27,Mexico,33,Male,Smartphone,12 Months
118,119,Standard,34.986000000000004,2022-09-20,2023-06-25,Spain,44,Female,Smartphone,12 Months
119,120,Basic,3.0,2022-10-18,2023-06-25,Italy,30,Female,Smart TV,1 Month
120,121,Basic,3.0,2022-03-10,2023-06-24,United States,27,Male,Smart TV,1 Month
121,122,Basic,3.0,2022-03-05,2023-06-28,Canada,51,Male,Smart TV,1 Month
122,123,Basic,3.0,2022-05-25,2023-06-26,United Kingdom,49,Female,Smartphone,1 Month
123,124,Basic,24.990000000000002,2022-05-11,2023-06-25,Australia,43,Male,Laptop,12 Months
124,125,Basic,24.990000000000002,2022-08-21,2023-06-24,Germany,42,Male,Smartphone,12 Months
125,126,Basic,24.990000000000002,2022-09-21,2023-06-23,France,45,Male,Laptop,12 Months
126,127,Basic,3.0,2021-11-23,2023-06-23,Brazil,36,Male,Smartphone,1 Month
127,128,Basic,24.990000000000002,2022-06-10,2023-06-27,Mexico,48,Male,Smartphone,12 Months
128,129,Basic,3.0,2022-05-11,2023-06-23,Spain,38,Male,Smart TV,1 Month
129,130,Basic,24.990000000000002,2023-07-01,2023-06-23,Italy,43,Female,Tablet,12 Months
130,131,Basic,24.990000000000002,2022-06-10,2023-06-23,United States,47,Male,Laptop,12 Months
131,132,Basic,3.0,2022-06-24,2023-06-28,Canada,48,Female,Smart TV,1 Month
132,133,Basic,3.0,2022-06-24,2023-06-26,United Kingdom,47,Male,Smart TV,1 Month
133,134,Basic,3.0,2022-05-11,2023-06-25,Australia,32,Male,Tablet,1 Month
134,135,Basic,3.0,2022-07-18,2023-06-26,Germany,47,Female,Smart TV,1 Month
135,136,Standard,4.2,2022-09-13,2023-06-26,France,41,Female,Smart TV,1 Month
136,137,Basic,3.0,2022-10-08,2023-06-22,Brazil,49,Male,Laptop,1 Month
137,138,Basic,24.990000000000002,2022-09-21,2023-06-23,Mexico,28,Male,Laptop,12 Months
138,139,Basic,24.990000000000002,2023-03-24,2023-06-23,Spain,40,Male,Smartphone,12 Months
139,140,Standard,34.986000000000004,2022-02-05,2023-06-23,Italy,43,Female,Smartphone,12 Months
140,141,Basic,24.990000000000002,2022-11-05,2023-06-27,United States,42,Male,Smartphone,12 Months
141,142,Basic,3.0,2022-10-06,2023-06-22,Canada,28,Male,Smart TV,1 Month
142,143,Premium,7.5,2022-08-31,2023-06-24,United Kingdom,30,Female,Tablet,1 Month
143,144,Basic,3.0,2022-08-17,2023-06-26,Australia,33,Male,Smart TV,1 Month
144,145,Basic,24.990000000000002,2022-05-05,2023-06-26,Germany,35,Female,Laptop,12 Months
145,146,Basic,24.990000000000002,2022-06-10,2023-06-25,France,38,Male,Tablet,12 Months
146,147,Basic,24.990000000000002,2022-08-11,2023-06-24,Brazil,49,Female,Laptop,12 Months
147,148,Basic,24.990000000000002,2022-11-27,2023-06-28,Mexico,39,Female,Smartphone,12 Months
148,149,Basic,3.0,2022-11-17,2023-06-27,Spain,46,Female,Smart TV,1 Month
149,150,Basic,24.990000000000002,2022-12-15,2023-06-23,Italy,47,Female,Laptop,12 Months
150,151,Premium,62.475,2022-12-12,2023-06-25,United States,30,Female,Laptop,12 Months
151,152,Basic,3.0,2022-11-23,2023-06-27,Canada,33,Female,Tablet,1 Month
152,153,Basic,3.0,2022-12-25,2023-06-24,United Kingdom,47,Male,Smartphone,1 Month
153,154,Basic,24.990000000000002,2023-11-03,2023-06-27,Australia,27,Male,Laptop,12 Months
154,155,Basic,24.990000000000002,2022-11-18,2023-06-27,Germany,28,Male,Tablet,12 Months
155,156,Basic,24.990000000000002,2022-08-19,2023-06-25,France,47,Male,Smartphone,12 Months
156,157,Basic,24.990000000000002,2022-09-27,2023-06-24,Brazil,30,Male,Laptop,12 Months
157,158,Basic,3.0,2022-10-19,2023-06-28,Mexico,47,Female,Smartphone,1 Month
158,159,Basic,3.0,2022-12-21,2023-06-26,Spain,51,Female,Smart TV,1 Month
159,160,Basic,24.990000000000002,2022-10-27,2023-06-25,Italy,39,Male,Smartphone,12 Months
160,161,Basic,24.990000000000002,2022-10-23,2023-06-24,United States,45,Male,Tablet,12 Months
161,162,Basic,3.0,2022-04-19,2023-06-25,Canada,31,Male,Laptop,1 Month
162,163,Basic,3.0,2022-05-04,2023-06-26,United Kingdom,29,Male,Laptop,1 Month
163,164,Premium,62.475,2022-11-03,2023-06-26,Australia,42,Female,Tablet,12 Months
164,165,Basic,3.0,2022-05-25,2023-06-25,Germany,49,Male,Tablet,1 Month
165,166,Basic,24.990000000000002,2022-04-16,2023-06-26,France,42,Male,Laptop,12 Months
166,167,Basic,3.0,2022-07-04,2023-06-24,Brazil,29,Male,Smartphone,1 Month
167,168,Basic,24.990000000000002,2022-11-12,2023-06-28,Mexico,29,Male,Tablet,12 Months
168,169,Basic,24.990000000000002,2023-01-20,2023-06-26,Spain,49,Male,Tablet,12 Months
169,170,Basic,24.990000000000002,2023-12-01,2023-06-25,Italy,32,Male,Laptop,12 Months
170,171,Standard,34.986000000000004,2022-04-29,2023-06-24,United States,35,Female,Tablet,12 Months
171,172,Basic,3.0,2022-04-27,2023-06-26,Canada,39,Female,Smartphone,1 Month
172,173,Basic,24.990000000000002,2022-03-06,2023-06-25,United Kingdom,40,Male,Smartphone,12 Months
173,174,Standard,34.986000000000004,2022-04-23,2023-06-25,Australia,39,Female,Tablet,12 Months
174,175,Standard,34.986000000000004,2022-04-22,2023-06-26,Germany,47,Female,Laptop,12 Months
175,176,Standard,4.2,2022-12-04,2023-06-25,France,37,Female,Smart TV,1 Month
176,177,Standard,34.986000000000004,2022-05-23,2023-06-26,Brazil,27,Female,Smartphone,12 Months
177,178,Basic,3.0,2022-10-19,2023-06-26,Mexico,49,Female,Laptop,1 Month
178,179,Premium,62.475,2022-03-12,2023-06-26,Spain,30,Female,Tablet,12 Months
179,180,Basic,24.990000000000002,2022-09-26,2023-06-25,Italy,36,Male,Laptop,12 Months
180,181,Basic,24.990000000000002,2022-06-16,2023-06-27,United States,33,Male,Smartphone,12 Months
181,182,Basic,24.990000000000002,2022-05-16,2023-06-25,Canada,30,Female,Laptop,12 Months
182,183,Basic,24.990000000000002,2022-05-26,2023-06-26,United Kingdom,36,Female,Tablet,12 Months
183,184,Standard,34.986000000000004,2022-04-26,2023-06-25,Australia,28,Female,Laptop,12 Months
184,185,Basic,24.990000000000002,2022-12-05,2023-06-25,Germany,47,Female,Tablet,12 Months
185,186,Premium,7.5,2022-01-03,2023-06-25,France,33,Female,Smart TV,1 Month
186,187,Basic,24.990000000000002,2022-10-07,2023-06-24,Brazil,49,Female,Laptop,12 Months
187,188,Standard,4.2,2022-07-16,2023-06-27,Mexico,44,Female,Smart TV,1 Month
188,189,Basic,3.0,2022-02-09,2023-06-26,Spain,47,Male,Smart TV,1 Month
189,190,Basic,24.990000000000002,2022-09-18,2023-06-26,Italy,37,Female,Tablet,12 Months
190,191,Basic,24.990000000000002,2022-08-07,2023-06-25,United States,46,Male,Laptop,12 Months
191,192,Basic,24.990000000000002,2022-06-26,2023-06-27,Canada,50,Female,Smartphone,12 Months
192,193,Basic,3.0,2022-05-08,2023-06-25,United Kingdom,50,Male,Laptop,1 Month
193,194,Basic,24.990000000000002,2022-08-19,2023-06-27,Australia,37,Male,Laptop,12 Months
194,195,Basic,24.990000000000002,2022-08-26,2023-06-24,Germany,50,Female,Smartphone,12 Months
195,196,Basic,3.0,2022-09-06,2023-06-24,France,45,Female,Smart TV,1 Month
196,197,Basic,24.990000000000002,2022-09-27,2023-06-23,Brazil,45,Male,Tablet,12 Months
197,198,Basic,24.990000000000002,2022-10-18,2023-06-27,Mexico,49,Female,Laptop,12 Months
198,199,Basic,24.990000000000002,2022-10-31,2023-06-25,Spain,39,Female,Tablet,12 Months
199,200,Standard,4.2,2022-10-13,2023-06-25,Italy,45,Female,Tablet,1 Month
200,201,Standard,4.2,2022-04-07,2023-06-27,United States,49,Female,Smart TV,1 Month
201,202,Basic,24.990000000000002,2022-06-26,2023-06-27,Canada,31,Female,Tablet,12 Months
202,203,Standard,4.2,2022-07-31,2023-06-24,United Kingdom,42,Female,Smart TV,1 Month
203,204,Basic,24.990000000000002,2022-07-27,2023-06-24,Australia,37,Male,Smartphone,12 Months
204,205,Basic,3.0,2022-07-30,2023-06-25,Germany,30,Male,Smart TV,1 Month
205,206,Basic,3.0,2022-06-08,2023-06-25,France,40,Male,Smartphone,1 Month
206,207,Basic,24.990000000000002,2022-09-16,2023-06-24,Brazil,45,Female,Smartphone,12 Months
207,208,Basic,24.990000000000002,2023-05-01,2023-06-23,Mexico,36,Female,Tablet,12 Months
208,209,Basic,24.990000000000002,2022-10-12,2023-06-24,Spain,41,Male,Laptop,12 Months
209,210,Standard,34.986000000000004,2022-11-22,2023-06-26,Italy,49,Female,Laptop,12 Months
210,211,Basic,3.0,2022-11-15,2023-06-27,United States,40,Male,Tablet,1 Month
211,212,Basic,3.0,2022-10-28,2023-06-26,Canada,36,Male,Smart TV,1 Month
212,213,Basic,3.0,2022-08-09,2023-06-24,United Kingdom,49,Female,Smart TV,1 Month
213,214,Basic,24.990000000000002,2022-06-30,2023-06-28,Australia,43,Female,Laptop,12 Months
214,215,Basic,3.0,2022-02-09,2023-06-27,Germany,50,Female,Smartphone,1 Month
215,216,Standard,4.2,2022-08-10,2023-06-24,France,51,Female,Smart TV,1 Month
216,217,Basic,3.0,2022-11-13,2023-06-25,Brazil,44,Male,Smart TV,1 Month
217,218,Basic,24.990000000000002,2022-11-15,2023-06-28,Mexico,27,Male,Tablet,12 Months
218,219,Basic,24.990000000000002,2022-11-16,2023-06-25,Spain,46,Female,Smartphone,12 Months
219,220,Basic,24.990000000000002,2022-11-26,2023-06-27,Italy,29,Male,Tablet,12 Months
220,221,Basic,24.990000000000002,2022-11-26,2023-06-25,United States,47,Male,Smartphone,12 Months
221,222,Standard,4.2,2022-12-12,2023-06-26,Canada,48,Female,Smartphone,1 Month
222,223,Basic,24.990000000000002,2023-08-01,2023-06-25,United Kingdom,34,Female,Smartphone,12 Months
223,224,Standard,4.2,2022-11-27,2023-06-29,Australia,40,Female,Smartphone,1 Month
224,225,Basic,24.990000000000002,2022-11-10,2023-06-27,Germany,48,Female,Smartphone,12 Months
225,226,Basic,24.990000000000002,2022-09-27,2023-06-26,France,35,Male,Smartphone,12 Months
226,227,Basic,24.990000000000002,2022-09-30,2023-06-24,Brazil,51,Female,Smartphone,12 Months
227,228,Basic,3.0,2022-04-11,2023-06-27,Mexico,39,Male,Smart TV,1 Month
228,229,Basic,24.990000000000002,2022-04-11,2023-06-27,Spain,29,Male,Smartphone,12 Months
229,230,Basic,24.990000000000002,2022-10-30,2023-06-26,Italy,51,Male,Laptop,12 Months
230,231,Basic,24.990000000000002,2022-10-29,2023-06-24,United States,43,Male,Smartphone,12 Months
231,232,Basic,3.0,2022-08-30,2023-06-27,Canada,28,Male,Smartphone,1 Month
232,233,Basic,3.0,2022-07-07,2023-06-26,United Kingdom,50,Female,Smart TV,1 Month
233,234,Basic,24.990000000000002,2022-05-26,2023-06-27,Australia,44,Female,Laptop,12 Months
234,235,Basic,3.0,2022-05-17,2023-06-25,Germany,50,Male,Laptop,1 Month
235,236,Basic,3.0,2022-08-05,2023-06-26,France,39,Female,Smartphone,1 Month
236,237,Premium,62.475,2022-07-07,2023-06-25,Brazil,46,Female,Tablet,12 Months
237,238,Basic,24.990000000000002,2022-07-17,2023-06-28,Mexico,48,Male,Smartphone,12 Months
238,239,Basic,3.0,2022-12-23,2023-06-26,Spain,38,Male,Smart TV,1 Month
239,240,Basic,24.990000000000002,2022-06-27,2023-06-26,Italy,38,Male,Smartphone,12 Months
240,241,Basic,24.990000000000002,2022-05-31,2023-06-27,United States,47,Male,Laptop,12 Months
241,242,Basic,24.990000000000002,2022-02-06,2023-06-26,Canada,37,Male,Laptop,12 Months
242,243,Basic,24.990000000000002,2022-05-25,2023-06-27,United Kingdom,33,Male,Laptop,12 Months
243,244,Basic,24.990000000000002,2022-04-26,2023-06-26,Australia,28,Male,Smartphone,12 Months
244,245,Basic,3.0,2022-04-20,2023-06-26,Germany,47,Male,Smart TV,1 Month
245,246,Standard,4.2,2022-03-05,2023-06-25,France,38,Female,Smartphone,1 Month
246,247,Basic,3.0,2022-07-07,2023-06-27,Brazil,27,Male,Smart TV,1 Month
247,248,Basic,24.990000000000002,2022-09-15,2023-06-26,Mexico,34,Male,Smartphone,12 Months
248,249,Standard,34.986000000000004,2022-09-16,2023-06-27,Spain,42,Female,Smartphone,12 Months
249,250,Basic,24.990000000000002,2022-09-08,2023-06-26,Italy,28,Male,Laptop,12 Months
250,251,Basic,24.990000000000002,2022-06-25,2023-06-27,United States,30,Male,Laptop,12 Months
251,252,Basic,24.990000000000002,2022-05-30,2023-06-26,Canada,38,Female,Smartphone,12 Months
252,253,Standard,34.986000000000004,2022-05-21,2023-06-25,United Kingdom,45,Female,Tablet,12 Months
253,254,Basic,3.0,2022-05-20,2023-06-27,Australia,48,Female,Smart TV,1 Month
254,255,Basic,3.0,2022-05-20,2023-06-26,Germany,46,Female,Smart TV,1 Month
255,256,Basic,24.990000000000002,2022-05-30,2023-06-26,France,34,Male,Tablet,12 Months
256,257,Basic,3.0,2022-06-17,2023-06-25,Brazil,46,Male,Laptop,1 Month
257,258,Basic,24.990000000000002,2022-07-16,2023-06-28,Mexico,41,Female,Smartphone,12 Months
258,259,Basic,24.990000000000002,2022-05-08,2023-06-26,Spain,28,Male,Smartphone,12 Months
259,260,Standard,34.986000000000004,2022-07-17,2023-06-26,Italy,27,Female,Smartphone,12 Months
260,261,Basic,3.0,2022-04-07,2023-06-25,United States,27,Female,Smart TV,1 Month
261,262,Premium,7.5,2022-07-13,2023-06-26,Canada,28,Female,Tablet,1 Month
262,263,Basic,3.0,2022-07-25,2023-06-24,United Kingdom,46,Male,Smartphone,1 Month
263,264,Basic,3.0,2022-09-08,2023-06-27,Australia,51,Male,Smartphone,1 Month
264,265,Basic,3.0,2022-05-08,2023-06-25,Germany,32,Female,Smart TV,1 Month
265,266,Basic,24.990000000000002,2022-08-17,2023-06-26,France,44,Male,Tablet,12 Months
266,267,Basic,24.990000000000002,2022-08-09,2023-06-27,Brazil,44,Female,Laptop,12 Months
267,268,Basic,3.0,2022-10-16,2023-06-28,Mexico,34,Female,Smart TV,1 Month
268,269,Premium,62.475,2022-10-15,2023-06-25,Spain,29,Female,Laptop,12 Months
269,270,Basic,3.0,2022-04-09,2023-06-25,Italy,47,Male,Smart TV,1 Month
270,271,Basic,24.990000000000002,2022-08-20,2023-06-26,United States,41,Male,Laptop,12 Months
271,272,Basic,24.990000000000002,2022-10-08,2023-06-26,Canada,36,Female,Smartphone,12 Months
272,273,Standard,34.986000000000004,2022-02-08,2023-06-25,United Kingdom,28,Female,Laptop,12 Months
273,274,Basic,24.990000000000002,2022-01-08,2023-06-24,Australia,27,Female,Tablet,12 Months
274,275,Standard,34.986000000000004,2022-06-08,2023-06-25,Germany,34,Female,Laptop,12 Months
275,276,Basic,3.0,2022-09-08,2023-06-25,France,34,Female,Smart TV,1 Month
276,277,Basic,3.0,2022-12-09,2023-06-26,Brazil,37,Female,Tablet,1 Month
277,278,Standard,4.2,2022-09-27,2023-06-26,Mexico,34,Female,Laptop,1 Month
278,279,Basic,24.990000000000002,2022-12-11,2023-06-24,Spain,50,Female,Laptop,12 Months
279,280,Standard,34.986000000000004,2022-11-13,2023-06-27,Italy,34,Female,Laptop,12 Months
280,281,Basic,3.0,2022-02-11,2023-06-28,United States,33,Female,Smart TV,1 Month
281,282,Basic,3.0,2022-10-30,2023-06-25,Canada,33,Male,Smart TV,1 Month
282,283,Basic,3.0,2022-06-30,2023-06-26,United Kingdom,46,Male,Smartphone,1 Month
283,284,Premium,62.475,2022-04-08,2023-06-28,Australia,39,Female,Smartphone,12 Months
284,285,Standard,4.2,2022-01-09,2023-06-27,Germany,42,Female,Laptop,1 Month
285,286,Standard,34.986000000000004,2022-10-14,2023-06-27,France,50,Female,Laptop,12 Months
286,287,Basic,24.990000000000002,2022-10-16,2023-06-26,Brazil,43,Male,Smartphone,12 Months
287,288,Basic,3.0,2022-10-20,2023-06-28,Mexico,51,Male,Smart TV,1 Month
288,289,Basic,3.0,2022-11-20,2023-06-25,Spain,34,Female,Smart TV,1 Month
289,290,Basic,24.990000000000002,2022-11-25,2023-06-30,Italy,48,Male,Smartphone,12 Months
